label,structure,operation,count,mean_ns,p50_ns,p99_ns,total_seconds,final_size,final_height,rotations_left,rotations_right
scale_n100000_r2,bst,D,59885,11750.705518911247,6200,19800,0.703691,13427,26,0,0
scale_n100000_r2,bst,S,69846,6724.8074334965495,4500,11600,0.4697009,13427,26,0,0
scale_n100000_r2,bst,RANK,500,6075262.8,4946800,34663100,3.0376314,13427,26,0,0
scale_n100000_r2,bst,SELECT,500,5359623.2,4582200,21888100,2.6798116,13427,26,0,0
scale_n100000_r2,bst,RANGE,500,5201105.6,4011300,24794900,2.6005528,13427,26,0,0
scale_n100000_r2,bst,ALL,201500,50117.06253101737,5200,77600,10.0985881,13427,26,0,0
scale_n100000_r3,avl,I,70269,48880.694189471884,41300,205800,3.4347975,13427,16,34247,31325
scale_n100000_r3,avl,D,59885,45320.33564331636,38400,196500,2.7140083,13427,16,34247,31325
scale_n100000_r3,avl,S,69846,5294.493600206168,4300,11300,0.3697992,13427,16,34247,31325
scale_n100000_r3,avl,RANK,500,4252.8,3900,8500,0.0021264,13427,16,34247,31325
scale_n100000_r3,avl,SELECT,500,6419.8,5500,11500,0.0032099,13427,16,34247,31325
scale_n100000_r3,avl,RANGE,500,11578.4,9500,35100,0.0057892,13427,16,34247,31325
scale_n100000_r3,avl,ALL,201500,32405.610421836227,26400,127000,6.5297305,13427,16,34247,31325
scale_n100000_r3,bst,I,70269,7135.883533279255,5500,16600,0.5014314,13427,26,0,0
scale_n100000_r3,bst,D,59885,9832.16498288386,6500,21700,0.5887992,13427,26,0,0
scale_n100000_r3,bst,S,69846,7027.103914325802,4800,12200,0.4908151,13427,26,0,0
scale_n100000_r3,bst,RANK,500,4540892.2,3664300,15534400,2.2704461,13427,26,0,0
scale_n100000_r3,bst,SELECT,500,3955653.0,3226500,13753100,1.9778265,13427,26,0,0
scale_n100000_r3,bst,RANGE,500,3906433.8,2724400,17160400,1.9532169,13427,26,0,0
scale_n100000_r3,bst,ALL,201500,38623.003473945406,5500,65600,7.7825352,13427,26,0,0
scale_n1000000_r1,avl,I,700814,56097.629898946085,44500,226800,39.3140044,130468,20,341770,313389
scale_n1000000_r1,avl,D,600092,52117.38850042994,41200,204000,31.2752279,130468,20,341770,313389
scale_n1000000_r1,avl,S,699094,6215.720203577774,4600,17900,4.3453727,130468,20,341770,313389
scale_n1000000_r1,avl,RANK,500,4692.6,2600,12600,0.0023463,130468,20,341770,313389
scale_n1000000_r1,avl,SELECT,500,6180.2,4600,16000,0.0030901,130468,20,341770,313389
scale_n1000000_r1,avl,RANGE,500,11161.2,8100,31200,0.0055806,130468,20,341770,313389
scale_n1000000_r1,avl,ALL,2001500,37444.72745440919,23900,152400,74.945622,130468,20,341770,313389
scale_n1000000_r1,bst,I,700814,5106.71533388317,4000,12000,3.5788576,130468,33,0,0
scale_n1000000_r1,bst,D,600092,6032.154569632657,4800,14400,3.6198477,130468,33,0,0
scale_n1000000_r1,bst,S,699094,4556.770906344497,3500,10700,3.1856112,130468,33,0,0
scale_n1000000_r1,bst,RANK,500,33474168.0,33007700,86494700,16.737084,130468,33,0,0
scale_n1000000_r1,bst,SELECT,500,25018920.4,26130000,63376100,12.5094602,130468,33,0,0
scale_n1000000_r1,bst,RANGE,500,24600067.8,22790500,64973700,12.3000339,130468,33,0,0
scale_n1000000_r1,bst,ALL,2001500,25945.987809143142,4000,13000,51.9308946,130468,33,0,0
scale_n1000000_r2,avl,I,700814,42391.52200155819,35500,131000,29.7085721,130468,20,341770,313389
scale_n1000000_r2,avl,D,600092,39270.4850256294,33600,120200,23.5659039,130468,20,341770,313389
scale_n1000000_r2,avl,S,699094,4659.567382927045,3600,11400,3.2574756,130468,20,341770,313389
scale_n1000000_r2,avl,RANK,500,3172.0,3300,5700,0.001586,130468,20,341770,313389
scale_n1000000_r2,avl,SELECT,500,4973.8,5400,10800,0.0024869,130468,20,341770,313389
scale_n1000000_r2,avl,RANGE,500,8551.6,8500,22400,0.0042758,130468,20,341770,313389
scale_n1000000_r2,avl,ALL,2001500,28248.96342742943,20000,97500,56.5403003,130468,20,341770,313389
scale_n1000000_r2,bst,I,700814,4103.66616534487,3600,9900,2.8759067,130468,33,0,0
scale_n1000000_r2,bst,D,600092,4759.971471041107,4300,11400,2.8564208,130468,33,0,0
scale_n1000000_r2,bst,S,699094,3591.741453938955,3100,8800,2.5109649,130468,33,0,0
scale_n1000000_r2,bst,RANK,500,33196757.8,31823100,90694100,16.5983789,130468,33,0,0
scale_n1000000_r2,bst,SELECT,500,25201155.6,25927200,67984500,12.6005778,130468,33,0,0
scale_n1000000_r2,bst,RANGE,500,25680771.2,21872400,94260200,12.8403856,130468,33,0,0
scale_n1000000_r2,bst,ALL,2001500,25122.475493379967,3600,10500,50.2826347,130468,33,0,0
scale_n1000000_r3,avl,I,700814,40446.8622202182,34200,123300,28.3457273,130468,20,341770,313389
scale_n1000000_r3,avl,D,600092,38236.51056837951,32400,115200,22.9454241,130468,20,341770,313389
scale_n1000000_r3,avl,S,699094,4601.5447135864415,3500,11600,3.2169123,130468,20,341770,313389
scale_n1000000_r3,avl,RANK,500,6261.4,4700,40900,0.0031307,130468,20,341770,313389
scale_n1000000_r3,avl,SELECT,500,8163.2,7800,21300,0.0040816,130468,20,341770,313389
scale_n1000000_r3,avl,RANGE,500,13898.0,12900,50400,0.006949,130468,20,341770,313389
scale_n1000000_r3,avl,ALL,2001500,27240.68198850862,19000,96900,54.522225,130468,20,341770,313389
scale_n1000000_r3,bst,I,700814,4240.941248319811,3700,10300,2.972111,130468,33,0,0
scale_n1000000_r3,bst,D,600092,4994.283709831159,4400,12000,2.9970297,130468,33,0,0
scale_n1000000_r3,bst,S,699094,3753.8293848895855,3200,9200,2.6242796,130468,33,0,0
